"distribution: [0,0,0,1,1,1,2,2,3,3,2,2]"
"words: 200"
"errors: 7465"
"haskell demerits lower: 7465"
"seeds: "
"Haskell lower -5333272390202978334, 8724275474803906104"
"Haskell lower 1477897368180303335, 6984187072474566618"
"Equal -8954142478431356453, 1971286578621712354"
"Haskell lower -3977544211435524137, 1858756088812496753"
"Haskell lower -5037751277244384234, -8711950761421485790"
"Haskell lower -8390028835628233828, -5435080555596213123"
"Haskell lower 8862013585275489873, -103621293923370236"
"Equal 4660137297552329235, 582694446985400186"
"Equal -546797454093612188, 7809552230231971239"
"Haskell lower -6898008546826607575, -5172074174627923956"
"Equal -8220894664886126788, -6330479245973198926"
"Haskell lower -8234315388267256230, 6875786537132379502"
"Haskell lower -8350560773355842792, 7392493633923508198"
"Equal 8624326364074049028, -5852419512040153166"
"Haskell lower -6599899911110177299, 214466396698331650"
"Haskell lower 7524766371063093344, -3195445407147537297"
"Equal -693987356630120533, 7876129481833438600"
"Haskell lower -6578997413927808794, -9067359541732887589"
"Haskell lower -3570558702782157770, 8919480202349508563"
"Equal 3356029541560957548, 3118278177597234092"
"Haskell lower -7699396074517780910, 3893148479962239928"
"Equal 8803102318495575071, -441117762605559390"
"Haskell lower 602914184585531518, -1254285497292154242"
"Equal 3247802661671957500, -8323562688297168059"
"Haskell lower 7952019508952557649, -721182034149146936"
"Haskell lower -8993579246191031512, -147994717283977687"
"Equal 4855189253110743886, 4239407552302054455"
"Haskell lower -2312564856833974466, -2055352180879673701"
"Haskell lower 2907844942615689633, -7489191055781209675"
"Haskell lower -1821693658123425815, -542310545452084146"
"Equal 8324983863276767439, -2762548676134321849"
"Haskell lower 3947530217895745288, -5070839094262485240"
"Haskell lower 4403451800732067440, 7880662716438610990"
"Haskell lower -8885955199125509496, -222587026728558942"
"Equal 8399579684956875015, -1480331594156934341"
"Haskell lower 6002614359013558499, -7838128355644687160"
"Haskell lower 2436273516913105924, -6076649314085509891"
"Haskell lower 3531436612620157419, -5259816818083570157"
"Haskell lower -6249987652850324071, -8259735907657222490"
"Haskell lower -8334720256244612548, 7801217146212856097"
"Equal 1169231033450591163, 2152257715387529391"
"Equal 3647270398082355490, -1627630585795932411"
"Haskell lower -8502711928998376044, -4881519358561422335"
"Haskell lower -1938557610481732562, -8122826419224860537"
"Haskell lower 6266245214757046173, -8172028195216421053"
"Equal 4484466469694498857, -2855378860081321175"
"Equal -6008574875348821956, -8694448633112251213"
"Equal 6859047752381499883, -576944358418039706"
"Equal -7419613481547306445, -78787733641523591"
"Haskell lower 7153871743990733770, 7828163938412146191"
"Equal 4149344658694163717, -6040856772459336033"
"Haskell lower -6991083044371387603, -7500304924198576818"
"Haskell lower -4135191791303745017, -4742912408011844978"
"Haskell lower 3980209822343808967, -5619069751299152867"
"Haskell lower -7491064173347897101, -9128284248930495015"
"Haskell lower -6865471625086984044, 8375208063223678414"
"Haskell lower -6774110060588253538, -7653164621728510758"
